 ******
 ***************transistor_test************************

 ****** transient analysis tnom=  25.000 temp=  25.000 ******
x

 time         voltage    voltage   
             n_g_u      n_d_d      
  3.0600e-09  3.750e-01  7.893e-01 
  3.0700e-09  4.375e-01  7.517e-01 
  3.0800e-09  5.000e-01  7.156e-01 
  3.0900e-09  5.625e-01  6.817e-01 
  3.1000e-09  6.250e-01  6.507e-01 
  3.1100e-09  6.875e-01  6.227e-01 
  3.1200e-09  7.500e-01  5.982e-01 
  3.1300e-09  8.125e-01  5.769e-01 
  3.1400e-09  8.750e-01  5.588e-01 
  3.1500e-09  9.375e-01  5.440e-01 
  3.1600e-09  1.000e+00  5.322e-01 
  3.1700e-09  1.062e+00  5.232e-01 
  3.1800e-09  1.125e+00  5.171e-01 
  3.1900e-09  1.187e+00  5.141e-01 
  3.2000e-09  1.250e+00  5.128e-01 
  3.2100e-09  1.250e+00  5.128e-01 
  3.2200e-09  1.250e+00  5.128e-01 
  3.2300e-09  1.250e+00  5.128e-01 
  3.2400e-09  1.250e+00  5.128e-01 
  3.2500e-09  1.250e+00  5.128e-01 
  3.2600e-09  1.250e+00  5.128e-01 
  3.2700e-09  1.250e+00  5.128e-01 
  3.2800e-09  1.250e+00  5.128e-01 
  3.2900e-09  1.250e+00  5.128e-01 
  3.3000e-09  1.250e+00  5.128e-01 
  3.3100e-09  1.250e+00  5.128e-01 
  3.3200e-09  1.250e+00  5.128e-01 
  3.3300e-09  1.250e+00  5.128e-01 
  3.3400e-09  1.250e+00  5.128e-01 
  3.3500e-09  1.250e+00  5.128e-01 
  3.3600e-09  1.250e+00  5.128e-01 
  3.3700e-09  1.250e+00  5.128e-01 
  3.3800e-09  1.250e+00  5.128e-01 
  3.3900e-09  1.250e+00  5.128e-01 
  3.4000e-09  1.250e+00  5.128e-01 
  3.4100e-09  1.250e+00  5.128e-01 
  3.4200e-09  1.250e+00  5.128e-01 
  3.4300e-09  1.250e+00  5.128e-01 
  3.4400e-09  1.250e+00  5.128e-01 
  3.4500e-09  1.250e+00  5.128e-01 
  3.4600e-09  1.250e+00  5.128e-01 
  3.4700e-09  1.250e+00  5.128e-01 
  3.4800e-09  1.250e+00  5.128e-01 
  3.4900e-09  1.250e+00  5.128e-01 
  3.5000e-09  1.250e+00  5.128e-01 
  3.5100e-09  1.250e+00  5.128e-01 
